Gene,BC01_normal,BC01_tumor,BC02_normal,BC02_tumor,BC03_normal,BC03_tumor,BC08_normal,BC08_tumor
A1BG,0.6111111144224802,1.0250000059604645,0.1000000014901161,1.0,0.8000000007450581,0.1000000014901161,,
A1BG-AS1,1.179166675079614,0.8333333358168602,1.1666666666666667,1.0166666706403096,1.0968253991256158,0.5500000007450581,,
A1CF,,,,,1.0,0.1000000014901161,,
A2M,1.5878266872137818,1.9830876306932068,2.939696088354786,2.161241556014362,1.7682729322532322,1.7079814959330006,3.7142857142857135,3.2148705096073518
A2M-AS1,1.0791666700194278,0.9277777845660844,1.3194444411330752,1.0909090988112218,0.6707672010515889,0.855555557128456,,
A4GALT,,,2.033333301544189,0.5500000007450581,0.867806270748292,1.0303030303030305,2.0,1.5
AAAS,1.004166671861377,1.1765224390113964,1.236666679630677,0.894523811952344,0.8731503627343384,1.0,1.0,1.1583333333333334
AACS,0.8798611124770509,1.1833333206673462,1.0095238209302937,1.1636111032217742,0.8188799952907072,0.9583333341611756,1.0,1.25
AADAT,,,1.0,1.100000023841858,0.8591304365239569,1.275000000372529,,
AAED1,0.8759685695710543,1.022770561194007,1.359219359201923,1.0688020702024612,0.9093755378030032,1.0072916666977108,1.0,1.0222222222222224
AAGAB,1.0356944493121572,1.1230158706210436,1.31492063987941,1.0124474838790836,0.9038945206919232,0.8928571430345376,1.1428571428571428,1.0476190476190477
AAK1,1.1842029953489484,1.2689779005697537,1.5161486129383686,1.0310856585320345,0.9863344200618288,1.0990650828168351,1.4285714285714286,1.203835371364282
AAMDC,0.8647916726147136,1.2854166642452278,1.0625000041392114,1.206250002995754,0.8801118574848684,0.9454545455448556,1.4285714285714286,1.125
AAMP,1.0723809583312167,1.154166671162885,1.2624338638806154,0.8615389061527556,0.950871044309929,1.0567567566090876,1.0625,1.337962962962963
AAR2,1.2284615431267485,0.9844551364628548,1.161752131043209,0.8232107878553079,0.862456278893675,1.0092592610529176,1.0,1.0833333333333333
AARD,1.0,1.0,,,0.8168571432478844,0.1000000014901161,2.5,1.0
AARS,0.9573863649486818,1.142613647816082,1.0654545524355137,0.9422794155246924,0.9198070946382872,0.9811111125681136,1.0,1.124786324786325
AARS2,0.8093750078696758,2.024999976468583,1.083333337472545,0.82761905347071,0.7912518874170374,0.8000000063329935,,
AARSD1,0.8300000069662927,1.020833347303172,1.0183333318680523,0.8478355021074866,0.8342105285291783,0.7000000004967054,,
AASDH,0.995555554749444,1.4433333219960331,0.9200000067551932,1.0417279435102555,0.8740931393231687,0.9500000015832484,1.0,1.0
AASDHPPT,0.9363986041613404,0.9307142659888736,1.1040403949156137,0.7871778672103354,0.8473268426753161,0.950980392741222,1.1428571428571428,1.0833333333333333
AASS,0.6812500050291419,2.0999999046325684,1.3333333333333333,0.9527777845246924,0.9294782837824752,0.8500000002483526,,
AATBC,1.600000023841858,1.0,1.0,1.0,0.8666666708886623,1.0,,
AATF,0.9493219120039132,1.4639240831921867,1.4867569886125842,1.0105062135276723,0.8977316382239452,1.1350000005215406,1.1111111111111112,1.12008547008547
AATK,0.5750000067055225,0.1000000014901161,1.0,1.0,0.6111111144224802,1.3499999841054282,,
AB019441.29,0.4736654297750105,0.4834631690579374,0.7641259846423103,0.5459922875324502,0.7018408570690516,0.965378273587188,1.4,1.1216931216931216
ABAT,0.8775000038556755,2.119444480924695,1.1015873258076017,0.862108947935892,0.8950370386463624,1.0,1.3333333333333333,1.111111111111111
ABCA1,1.026666667824611,1.007500008540228,1.3111111140913432,0.7792948809165794,0.972744110266769,1.1722222222754406,,
ABCA10,1.126666669920087,0.1000000014901161,1.5277778084079423,2.299999952316284,0.913508894899712,1.3500000002483528,,
ABCA11P,1.0541666767870386,0.7000000004967054,0.5500000007450581,1.0458333442608516,,,,
ABCA2,0.7908001023649047,0.9549734217876378,0.9373760553010086,0.6381445016210352,0.8626222629346701,0.9458333339231708,,
ABCA3,1.4299999753013253,1.1625000139077504,1.3319444472177162,1.1733333349227906,0.7566374340630183,1.0611111111938951,1.0,1.0
